"company";"location";"industry";"total_laid_off";"percentage_laid_off";"date";"stage";"country";"funds_raised_millions"
"Otonomo";"Tel Aviv";"Transportation";80;"0.5";"12/8/2022";"Post-IPO";"Israel";231
"Outreach";"Seattle";"Sales";70;"0.07";"2/27/2023";"Series G";"United States";489
"Outschool";"SF Bay Area";"Education";43;"0.25";"12/10/2022";"Series D";"United States";240
"Paddle";"London";"Finance";0;"0.08";"1/11/2023";"Series D";"United Kingdom";293
"Pagaya";"New York City";"Finance";140;"0.2";"1/18/2023";"Post-IPO";"United States";571
"PagBank";"Sao Paulo";"Finance";500;"0.07";"1/16/2023";"Post-IPO";"Brazil";0
"PagerDuty";"SF Bay Area";"Product";0;"0.07";"1/24/2023";"Post-IPO";"United States";173
"PagSeguro";"Sao Paulo";"Finance";0;"0.07";"1/25/2023";"Post-IPO";"Brazil";0
"Palantir";"Denver";"Data";75;"0.02";"2/27/2023";"Post-IPO";"United States.";3000
"Parler";"Nashville";"Consumer";60;"0.75";"1/10/2023";"Series B";"United States";36
"PartnerStack";"Toronto";"Sales";40;"0.2";"1/24/2023";"Series B";"Canada";36
"PayFit";"Paris";"HR";200;"0.2";"3/1/2023";"Series E";"France";495
"PayPal";"SF Bay Area";"Finance";2000;"0.07";"1/31/2023";"Post-IPO";"United States";216
"PayU";"Amsterdam";"Finance";150;"0.06";"12/26/2022";"Acquired";"Netherlands";0
"Pecan AI";"Tel Aviv";"Data";30;"0.25";"1/5/2023";"Series C";"Israel";116
"Pegasystems";"Boston";"HR";245;"0.04";"1/3/2023";"Post-IPO";"United States";0
"Personalis";"SF Bay Area";"Healthcare";0;"0.3";"1/19/2023";"Post-IPO";"United States";225
"Personetics";"New York City";"Support";30;"0.08";"1/5/2023";"Private Equity";"United States";178
"PetLove";"Sao Paulo";"Retail";94;"";"2/13/2023";"Series C";"Brazil";225
"PhableCare";"Bengaluru";"Healthcare";0;"0.7";"2/14/2023";"Series B";"India";40
"Philips";"Amsterdam";"Healthcare";6000;"0.13";"1/30/2023";"Post-IPO";"Netherlands";0
"Pico Interactive";"SF Bay Area";"Other";400;"0.2";"2/16/2023";"Acquired";"United States";62
"Pier";"Sao Paulo";"Finance";111;"0.39";"1/12/2023";"Series B";"Brazil";42
"Pinterest";"SF Bay Area";"Consumer";150;"";"2/1/2023";"Post-IPO";"United States";1500
"Plaid";"SF Bay Area";"Finance";260;"0.2";"12/7/2022";"Series D";"United States";734
"Playtika";"Tel Aviv";"Consumer";600;"0.15";"12/9/2022";"Post-IPO";"Israel";0
"Pluralsight";"Salt Lake City";"Education";400;"0.2";"12/12/2022";"Acquired";"United States";192
"Plus One Robotics";"San Antonio";"Other";0;"0.1";"1/26/2023";"Series B";"United States";43
"Pocket Aces";"Mumbai";"Media";50;"0.25";"2/6/2023";"Unknown";"India";19
"Polygon";"Bengaluru";"Crypto";100;"0.2";"2/21/2023";"Unknown";"India";451
"Poshmark";"SF Bay Area";"Retail";0;"0.02";"2/24/2023";"Acquired";"United States";153
"Prime Trust";"Las Vegas";"Crypto";0;"0.33";"1/30/2023";"Series B";"United States";176
"Primer";"London";"Finance";85;"0.33";"12/9/2022";"Series B";"United Kingdom";73
"Prisma";"SF Bay Area";"Data";0;"0.28";"1/19/2023";"Series B";"United States";56
"Prosus";"Amsterdam";"Other";0;"0.3";"1/25/2023";"Unknown";"Netherlands";0
"Protego Trust Bank";"Seattle";"Crypto";0;"0.5";"3/1/2023";"Series A";"United States";70
"Proterra";"SF Bay Area";"Transportation";300;"";"1/19/2023";"Post-IPO";"United States";1200
"Protocol Labs";"SF Bay Area";"Crypto";89;"0.2";"2/3/2023";"Unknown";"United States";10
"Qualcomm";"San Diego";"Hardware";153;"";"12/22/2022";"Post-IPO";"United States";0
"Qualtrics";"Salt Lake City";"Other";270;"0.05";"1/11/2023";"Post-IPO";"United States";400
"Quanergy Systems";"SF Bay Area";"Transportation";72;"";"12/14/2022";"Post-IPO";"United States";175
"Quantum SI";"New Haven";"Healthcare";0;"0.12";"1/30/2023";"Post-IPO";"United States";425
"Reach";"Calgary";"Retail";0;"0.12";"12/16/2022";"Series A";"Canada";30
"Rebel Foods";"Mumbai";"Food";0;"0.02";"1/16/2023";"Unknown";"India";548
"Recur Forever";"Miami";"Crypto";235;"";"12/7/2022";"Series A";"United States";55
"Redbubble";"Melbourne";"Retail";0;"0.14";"1/18/2023";"Post-IPO";"Australia";55
"REE Automotive";"Tel Aviv";"Transportation";31;"0.11";"2/9/2023";"Post-IPO";"Israel";317
"Relativity";"Chicago";"Legal";150;"0.1";"12/7/2022";"Private Equity";"United States";125
"Relevel";"Bengaluru";"HR";40;"0.2";"1/10/2023";"";"India";0
"Revelate";"Montreal";"Data";24;"0.3";"12/16/2022";"Series A";"Canada";26
"Rigetti Computing";"SF Bay Area";"Hardware";0;"0.28";"2/10/2023";"Post-IPO";"United States";298
"RingCentral";"SF Bay Area";"Other";30;"";"1/17/2023";"Post-IPO";"United States";44
"Riot Games";"Los Angeles";"Consumer";46;"";"1/19/2023";"Acquired";"United States";21
"Rivian";"Detroit";"Transportation";0;"0.06";"2/1/2023";"Post-IPO";"United States";10700
"Rock Content";"Miami";"Marketing";0;"0.15";"1/12/2023";"Series B";"United States";34
"Ruggable";"Los Angeles";"Retail";100;"";"1/27/2023";"Seed";"United States";0
"Saks.com";"New York City";"Retail";100;"0.05";"1/19/2023";"Unknown";"United States";965
"Salesforce";"SF Bay Area";"Sales";8000;"0.1";"1/4/2023";"Post-IPO";"United States";65
"Salesloft";"Atlanta";"Sales";100;"0.1";"2/7/2023";"Acquired";"United States";245
"Sana Benefits";"Austin";"HR";0;"0.19";"2/7/2023";"Series B";"United States";106
"SAP";"Walldorf";"Other";3000;"0.03";"1/26/2023";"Post-IPO";"Germany";1300
"SAP Labs";"Bengaluru";"Other";300;"";"2/24/2023";"Subsidiary";"India";1300
"Sayurbox";"Jakarta";"Food";0;"0.05";"12/7/2022";"Series C";"Indonesia";139
"Scale AI";"SF Bay Area";"Data";0;"0.2";"1/9/2023";"Series E";"United States";602
"Scoro";"London";"HR";0;"0.09";"1/24/2023";"Series B";"United Kingdom";23
"SecureWorks";"Atlanta";"Security";212;"0.09";"2/7/2023";"Post-IPO";"United States";83
"ServiceTitan";"Los Angeles";"Sales";221;"0.08";"2/15/2023";"Series G";"United States";1100
"Shakepay";"Montreal";"Crypto";21;"0.25";"1/27/2023";"Series A";"Canada";45
"Share Now";"Berlin";"Transportation";150;"0.36";"12/9/2022";"Acquired";"Germany";0
"ShareChat";"Bengaluru";"Consumer";500;"0.2";"1/16/2023";"Series H";"India";1700
"Shutterfly";"SF Bay Area";"Retail";360;"";"1/25/2023";"Acquired";"United States";50
"SirionLabs";"Seattle";"Legal";130;"0.15";"1/25/2023";"Series D";"United States";171
"SiriusXM";"New York City";"Media";475;"0.08";"3/6/2023";"Post-IPO";"United States";525
"Skit.ai";"Bengaluru";"Support";115;"";"1/12/2023";"Series B";"India";28
"SmartNews";"Tokyo";"Media";120;"0.4";"1/12/2023";"Series F";"United States";410
"Smartsheet";"Seattle";"Other";85;"0.03";"2/16/2023";"Post-IPO";"United States";152
"Snappy";"New York City";"Marketing";100;"0.3";"1/15/2023";"Series C";"United States";104
"Snowplow";"London";"Data";40;"";"2/2/2023";"Series B";"United States";55
"Socure";"Reno";"Finance";104;"0.19";"1/5/2023";"Series E";"United States";646
"Software AG";"Frankfurt";"Data";200;"0.04";"1/31/2023";"Post-IPO";"Germany";344
"Sonder";"SF Bay Area";"Travel";100;"0.14";"3/1/2023";"Post-IPO";"United States";839
"SonderMind";"Denver";"Healthcare";0;"0.15";"12/16/2022";"Series C";"United States";183
"Sono Motors";"Munich";"Transportation";300;"";"2/27/2023";"Post-IPO";"Germany";126
"Sophos";"Oxford";"Security";450;"0.1";"1/18/2023";"Acquired";"United States";125
"SoundHound";"SF Bay Area";"Other";200;"0.5";"1/5/2023";"Post-IPO";"United States";326
"Splunk";"SF Bay Area";"Data";325;"0.04";"2/1/2023";"Post-IPO";"United States";2400
"Spotify";"Stockholm";"Media";600;"0.06";"1/23/2023";"Post-IPO";"Sweden";2100
"Sprinklr";"New York City";"Support";100;"0.04";"2/15/2023";"Post-IPO";"United States";429
"SSense";"Montreal";"Retail";138;"0.07";"1/27/2023";"Series A";"Canada";0
"Starry";"Boston";"Other";100;"0.24";"1/18/2023";"Post-IPO";"United States";260
"Stax";"Orlando";"Finance";24;"";"2/24/2023";"Series D";"United States";263
"Stitch Fix";"SF Bay Area";"Retail";0;"0.2";"1/5/2023";"Post-IPO";"United States";79
"StreamElements";"Tel Aviv";"Media";40;"0.2";"1/10/2023";"Series B";"Israel";111
"StrongDM";"SF Bay Area";"Infrastructure";40;"";"2/23/2023";"Series B";"United States";76
"Stytch";"SF Bay Area";"Security";19;"0.25";"2/27/2023";"Series B";"United States";126
"SuperRare";"Wilmington";"Crypto";0;"0.3";"1/6/2023";"Series A";"United States";9
"Swiggy";"Bengaluru";"Food";250;"0.03";"12/8/2022";"Unknown";"India";3600
"Swiggy";"Bengaluru";"Food";380;"0.06";"1/20/2023";"Unknown";"India";3600
"Synamedia";"London";"Media";200;"0.12";"2/22/2023";"Unknown";"United Kingdom";0
"Synopsys";"SF Bay Area";"Other";100;"";"1/27/2023";"Post-IPO";"United States";0
"Tackle";"Boise";"Other";0;"0.15";"2/15/2023";"Series C";"United States";148
"TaskUs";"San Antonio";"Support";186;"";"2/22/2023";"Post-IPO";"United States";279
"TCR2";"Boston";"Healthcare";0;"0.4";"1/5/2023";"Post-IPO";"United States";173
"TechTarget";"Boston";"Marketing";60;"0.05";"12/8/2022";"Post-IPO";"United States";115
"Teladoc Health";"New York City";"Healthcare";300;"0.06";"1/18/2023";"Post-IPO";"United States";172
"Tencent";"Shenzen";"Consumer";300;"";"2/17/2023";"Post-IPO";"China";12600
"The Iconic";"Sydney";"Retail";69;"0.06";"2/23/2023";"Unknown";"Australia";0
"The RealReal";"SF Bay Area";"Retail";230;"0.07";"2/16/2023";"Post-IPO";"United States";356
"TheSkimm";"New York City";"Media";17;"0.1";"2/1/2023";"Series C";"United States";28
"Thinkific";"Vancouver";"Education";76;"0.19";"1/10/2023";"Post-IPO";"Canada";22
"Thoughtworks";"Chicago";"Other";500;"0.04";"3/1/2023";"Post-IPO";"United States";748
"Thumbtack";"SF Bay Area";"Consumer";160;"0.14";"12/13/2022";"Series I";"United States";698
"Tier Mobility";"Berlin";"Transportation";80;"0.07";"1/25/2023";"Series D";"Germany";646
"TikTok India";"Mumbai";"Consumer";40;"";"2/10/2023";"Acquired";"India";9400
"Till Payments";"Sydney";"Finance";120;"";"1/10/2023";"Series C";"Australia";95
"Tilting Point";"New York City";"Consumer";60;"0.14";"1/31/2023";"Unknown";"United States";235
"Tipalti";"SF Bay Area";"Finance";123;"0.11";"1/11/2023";"Series F";"United States";565
"Tomorrow";"Hamburg";"Finance";30;"0.25";"12/16/2022";"Unknown";"Germany";29
"TripleLift";"New York City";"Marketing";100;"0.2";"2/10/2023";"Acquired";"United States";16
"Tul";"Bogota";"Construction";100;"";"1/17/2023";"Series B";"Colombia";218
"TuSimple";"San Diego";"Transportation";350;"0.25";"12/21/2022";"Post-IPO";"United States";648
"Twilio";"SF Bay Area";"Other";1500;"0.17";"2/13/2023";"Post-IPO";"United States.";614
"Twine Solutions ";"Tel Aviv";"Hardware";30;"0.33";"1/5/2023";"Unknown";"Israel";50
"Twitter";"SF Bay Area";"Consumer";40;"";"1/5/2023";"Post-IPO";"United States";12900
"Twitter";"SF Bay Area";"Consumer";200;"0.1";"2/25/2023";"Post-IPO";"United States";12900
"Uber Freight";"SF Bay Area";"Logistics";150;"0.03";"1/23/2023";"Subsidiary";"United States";2700
"Udemy";"SF Bay Area";"Education";0;"0.1";"2/14/2023";"Post-IPO";"United States";311
"Unico";"Sao Paulo";"Other";110;"0.1";"1/17/2023";"Series D";"Brazil";336
"Uniphore";"SF Bay Area";"Support";76;"0.1";"1/3/2023";"Series E";"United States";620
"Unity";"SF Bay Area";"Other";284;"0.03";"1/17/2023";"Post-IPO";"United States";1300
"UpGrad";"Mumbai";"Education";120;"";"3/6/2023";"Unknown";"India";631
"UpScalio";"Gurugram";"Retail";25;"0.15";"1/5/2023";"Series B";"India";62
"Upstart";"SF Bay Area";"Finance";365;"0.2";"1/31/2023";"Post-IPO";"United States";144
"UserTesting";"SF Bay Area";"Marketing";63;"";"3/3/2023";"Acquired";"United States";152
"Vacasa";"Portland";"Travel";1300;"0.17";"1/24/2023";"Post-IPO";"United States";834
"Vanta";"SF Bay Area";"Security";0;"0.14";"12/8/2022";"Series B";"United States";203
"Vedantu";"Bengaluru";"Education";385;"";"12/7/2022";"Series E";"India";292
"Velodyne Lidar";"SF Bay Area";"Transportation";220;"";"2/24/2023";"Acquired";"United States";575
"Venngage";"Toronto";"Marketing";11;"0.2";"1/24/2023";"Unknown";"Canada";0
"Veriff";"Tallinn";"Security";66;"0.12";"2/9/2023";"Series C";"Estonia";192
"Verily";"SF Bay Area";"Healthcare";250;"0.15";"1/11/2023";"";"United States";3500
"VerticalScope";"Toronto";"Media";60;"0.22";"2/1/2023";"Post-IPO";"Canada";0
"Vial";"SF Bay Area";"Healthcare";40;"";"1/13/2023";"Series B";"United States";101
"Viant";"Los Angeles";"Marketing";46;"0.13";"12/13/2022";"Post-IPO";"United States";0
"Vibrent Health";"Washington D.C.";"Healthcare";0;"0.13";"2/23/2023";"Unknown";"United States";0
"Vicarious Surgical";"Boston";"Healthcare";0;"0.14";"2/15/2023";"Post-IPO";"United States";185
"Vimeo";"New York City";"Consumer";0;"0.11";"1/4/2023";"Post-IPO";"United States";450
"VinFast US";"Los Angeles";"Transportation";80;"";"2/6/2023";"Subsidiary";"United States";0
"Voi";"Stockholm";"Transportation";130;"0.13";"12/7/2022";"Series D";"United States";515
"Vox Media";"Washington D.C.";"Media";130;"0.07";"1/20/2023";"Series F";"United States";307
"Vroom";"New York City";"Transportation";275;"0.2";"1/18/2023";"Post-IPO";"United States";1300
"WalkMe";"SF Bay Area";"Other";43;"0.03";"1/8/2023";"Post-IPO";"United States";307
"Wallbox";"Barcelona";"Energy";0;"0.15";"1/19/2023";"Post-IPO";"Spain";167
"Wayfair";"Boston";"Retail";1750;"0.1";"1/20/2023";"Post-IPO";"United States";1700
"Waymo";"SF Bay Area";"Transportation";209;"0.08";"3/1/2023";"Subsidiary";"United States";5500
"Weedmaps";"Los Angeles";"Other";175;"0.25";"12/6/2022";"Acquired";"United States";0
"Wefox";"Berlin";"Finance";100;"";"1/31/2023";"Series D";"Germany";1300
"WeTrade";"Bengaluru";"Crypto";0;"1";"2/9/2023";"Unknown";"India";0
"WeWork ";"New York City";"Real Estate";300;"";"1/19/2023";"Post-IPO";"United States";22200
"Wheel";"Austin";"Healthcare";56;"0.28";"2/1/2023";"Series C";"United States";215
"WHOOP";"Boston";"Fitness";0;"0.04";"1/10/2023";"Series F";"United States";404
"Willow";"Sydney";"Real Estate";99;"0.22";"12/23/2022";"Unknown";"Australia";0
"Wish";"SF Bay Area";"Retail";150;"0.17";"1/31/2023";"Post-IPO";"United States";1600
"Wix";"Tel Aviv";"Marketing";370;"0.06";"2/15/2023";"Post-IPO";"Israel";58
"Workato";"SF Bay Area";"Other";90;"0.1";"2/1/2023";"Series E";"United States";415
"Workday";"SF Bay Area";"HR";525;"0.03";"1/31/2023";"Post-IPO";"United States";230
"Workmotion";"Berlin";"HR";60;"0.2";"12/15/2022";"Series B";"United States";76
"Wyre";"SF Bay Area";"Crypto";0;"1";"1/4/2023";"Unknown";"United States";29
"Xentral";"Munich";"Product";20;"0.1";"12/10/2022";"Series B";"Germany";94
"Yahoo";"SF Bay Area";"Consumer";1600;"0.2";"2/9/2023";"Acquired";"United States";6
"Yellow.ai";"SF Bay Area";"Support";200;"";"3/1/2023";"Series C";"United States";102
"Yext";"New York City";"Marketing";0;"0.08";"1/23/2023";"Post-IPO";"United States";117
"YourGrocer";"Melbourne";"Food";0;"1";"12/19/2022";"Unknown";"Australia";2
"ZenLedger";"Seattle";"Crypto";0;"0.1";"12/9/2022";"Series B";"United States";25
"Zhihu";"Beijing";"Consumer";0;"0.1";"12/20/2022";"Series F";"China";892
"Zoom";"SF Bay Area";"Other";1300;"0.15";"2/7/2023";"Post-IPO";"United States";276
"Zoopla";"London";"Real Estate";50;"";"12/23/2022";"Series C";"United Kingdom";25
"Zscaler";"SF Bay Area";"Security";177;"0.03";"3/2/2023";"Post-IPO";"United States";148
